product_id,product_name,current_price,price,percent_discount,rating,series,link,brand_id,genre_id
010243,Cáp Lightning MFI 1m Mophie,200000.0,290000.0,30,69,,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-mfi-1m-mophie,0103,0103
010244,Cáp Lightning 2m eValu LTL-04X,150000.0,190000.0,20,23,,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-2m-evalu-ltl-04x-do,0112,0103
010245,Cáp 3 đầu Lightning Type C Micro 1m eValu Spanker B 2,220000.0,220000.0,0,123,,https://www.thegioididong.com/cap-dien-thoai/cap-3-dau-lightning-type-c-micro-evalu-spanker-b2,0112,0103
010246,Cáp Lightning 2m eValu LTL-04X,170000.0,190000.0,10,158,,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-2m-evalu-ltl-04x,0112,0103
010247,Cáp Micro USB 1m eValu LTM -01,100000.0,100000.0,0,140,,https://www.thegioididong.com/cap-dien-thoai/cap-micro-1m-evalu-ltm-01-do-den,0112,0103
010248,Cáp chuyển 2RCA sang 3.5mm Âm 0.3m e.Valu LRCA-01,25000.0,50000.0,50,18,,https://www.thegioididong.com/cap-dien-thoai/cap-chuyen-2rca-sang-35mm-am-30cm-evalu-lrca-01,0112,0103
010249,Cáp chuyển đổi e.VALU LT8611SX,250000.0,250000.0,0,4,,https://www.thegioididong.com/cap-dien-thoai/adapter-chuyen-mini-displayport-hdmi-female-10cm-e,0112,0103
010250,Cáp Lightning 0.2m eValu LTL-02,70000.0,70000.0,0,135,,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-20cm-evalu-ltl-02,0112,0103
010251,Cáp âm thanh 3.5mm 1m eSaver DS125-TB,25000.0,40000.0,30,87,,https://www.thegioididong.com/cap-dien-thoai/cap-audio-35mm-1m-esaver-ds125-tb-den,0117,0103
010252,Cáp Micro USB 0.2m eSaver BST-0728,40000.0,40000.0,0,20,,https://www.thegioididong.com/cap-dien-thoai/cap-micro-usb-20cm-esaver-bst-0728-trang,0117,0103
010253,Cáp Type C - Lightning MFI 2m Mbest DS948-WB,315000.0,350000.0,10,54,,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-lightning-mfi-2m-mbest-ds948-wb-xanh,0102,0103
010254,Cáp Lightning MFI 2m Mbest DS951-WB,200000.0,290000.0,30,82,,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-mfi-2m-mbest-ds951-wb-gold,0102,0103
010255,Cáp Lightning MFI 1m Mbest DS950-WB,200000.0,290000.0,30,80,,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-mfi-1m-mbest-ds950-wb,0102,0103
010256,Cáp Type C - Type C 2m Mbest DS076X,220000.0,220000.0,0,24,,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-type-c-2m-mbest-ds076x-trang,0102,0103
010257,Cáp Type C - Type C 1m Mbest DS075X,220000.0,220000.0,0,50,,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-type-c-1m-mbest-ds075x-trang,0102,0103
010258,Cáp Type C - Lightning MFI 1m Mbest DS954,315000.0,350000.0,10,25,,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-lightning-mfi-1m-mbest-ds954,0102,0103
010259,Cáp Type C 1m Mbest DS462X,190000.0,190000.0,0,50,,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-1m-mbest-ds462x,0102,0103
010260,Cáp Lightning MFI 1m Mbest DS949-WB,200000.0,290000.0,30,59,,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-mfi-1m-mbest-ds949-wb-xam,0102,0103
010261,Cáp Type C 1m Mbest DS002-WB,190000.0,190000.0,0,132,,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-1m-mbest-ds002-wb-cam,0102,0103
010262,Cáp Type C 2m Mbest DS463X-WB,190000.0,190000.0,0,60,,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-2m-mbest-ds463x-wb-den,0102,0103
010263,Cáp Type C 1m Mbest DS462G-WB,150000.0,150000.0,0,18,,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-1m-mbest-ds462g-wb-xam,0102,0103
010264,Cáp Type C - Type C 2m Mbest SMXU75,150000.0,150000.0,0,28,,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-type-c-2m-mbest-smxu75-trang,0102,0103
010265,Cáp Type C - Lightning MFI 1m Mbest DS640-WB,315000.0,350000.0,10,30,,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-lightning-mfi-1m-mbest-ds640-wb-den,0102,0103
010266,Cáp Type C - Type C 1m M-Best SMXU75,150000.0,150000.0,0,10,,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-type-c1m-m-best-smxu75-trang,0102,0103
010267,Cáp Type C 1.5m Sony CP-AC150,230000.0,230000.0,0,0,,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-15m-sony-cp-ac150,0120,0103
010268,Cáp Micro USB 1m Sony CP-AB100,120000.0,120000.0,0,28,,https://www.thegioididong.com/cap-dien-thoai/cap-micro-1m-sony-cp-ab100,0120,0103
