product_name,current_price,price,percent_discount,rating,series,link,genre_name,brand_name
Bộ loa thanh LG SC9S Mới 2023,7290000,14990000,51,0,,https://www.thegioididong.com/loa-laptop/loa-thanh-lg-sc9s,Laptop Speaker,Lg
Loa bluetooth LG OL45,3990000,5190000,23,90,,https://www.thegioididong.com/loa-laptop/loa-karaoke-lg-ol45,Laptop Speaker,Lg
Loa kéo Dalton TS-12G350N,4990000,6590000,24,4,,https://www.thegioididong.com/loa-laptop/loa-keo-karaoke-dalton-ts-12g350n,Laptop Speaker,Dalton
Loa karaoke xách tay Dalton PS-K20A,3990000,5890000,32,3,,https://www.thegioididong.com/loa-laptop/loa-karaoke-xach-tay-dalton-ps-k20,Laptop Speaker,Dalton
Loa karaoke xách tay Dalton PS-K16A,4490000,5490000,18,5,,https://www.thegioididong.com/loa-laptop/loa-karaoke-xach-tay-dalton-ps-k16a,Laptop Speaker,Dalton
Loa karaoke xách tay Dalton PS-K25A,4990000,6690000,25,55,,https://www.thegioididong.com/loa-laptop/loa-karaoke-xach-tay-dalton-ps-k25a,Laptop Speaker,Dalton
Loa điện Dalton TS-18A8500,19690000,21990000,10,33,,https://www.thegioididong.com/loa-laptop/loa-dien-karaoke-dalton-ts-18a8500-3000w,Laptop Speaker,Dalton
Loa kéo Dalton TS-12G450X,5690000,7900000,27,101,,https://www.thegioididong.com/loa-laptop/loa-karaoke-dalton-ts-12g450x,Laptop Speaker,Dalton
Loa điện Dalton TS - 18A1500,12200000,13900000,12,28,,https://www.thegioididong.com/loa-laptop/dalton-ts-18a1500,Laptop Speaker,Dalton
Loa kéo Dalton TS-18G850X,11700000,12800000,8,96,,https://www.thegioididong.com/loa-laptop/dalton-ts-18g850x,Laptop Speaker,Dalton
Loa kéo Dalton TS-15G600X,8500000,9500000,10,202,,https://www.thegioididong.com/loa-laptop/dalton-ts-15g600x,Laptop Speaker,Dalton
Loa kéo Birici NB-6889,12490000,14390000,13,0,,https://www.thegioididong.com/loa-laptop/loa-karaoke-birici-nb-6889,Laptop Speaker,Birici
Loa điện Birici MX-700,15990000,18690000,14,54,,https://www.thegioididong.com/loa-laptop/birici-mx-700,Laptop Speaker,Birici
Loa thanh Samsung HW-C400/XV,2990000,2990000,0,0,,https://www.thegioididong.com/loa-laptop/loa-thanh-samsung-hw-c400-xv,Laptop Speaker,Samsung
Bộ loa thanh Samsung HW-C450/XV,4490000,4490000,0,0,,https://www.thegioididong.com/loa-laptop/loa-thanh-samsung-hw-c450-xv,Laptop Speaker,Samsung
Bộ loa thanh Samsung HW-Q600C/XV,8990000,8990000,0,0,,https://www.thegioididong.com/loa-laptop/loa-thanh-samsung-hw-q600c-xv,Laptop Speaker,Samsung
Bộ loa thanh Samsung HW-Q700C/XV,11990000,11990000,0,0,,https://www.thegioididong.com/loa-laptop/loa-thanh-samsung-hw-q700c-xv,Laptop Speaker,Samsung
Bộ loa thanh Samsung HW-Q930C/XV,20990000,20990000,0,0,,https://www.thegioididong.com/loa-laptop/loa-thanh-samsung-hw-q930c-xv,Laptop Speaker,Samsung
Bộ loa thanh Samsung HW-Q990C/XV,32990000,32990000,0,0,,https://www.thegioididong.com/loa-laptop/loa-thanh-samsung-hw-q990c-xv,Laptop Speaker,Samsung
Loa tháp Samsung MX-ST50B,6990000,10990000,36,4,,https://www.thegioididong.com/loa-laptop/loa-thap-samsung-mx-st50b-230w,Laptop Speaker,Samsung
Loa thanh Samsung HW-S61B,6990000,8990000,22,0,,https://www.thegioididong.com/loa-laptop/loa-thanh-samsung-hw-s61b,Laptop Speaker,Samsung
Bộ loa thanh Samsung HW-B550,4990000,6990000,28,24,,https://www.thegioididong.com/loa-laptop/loa-thanh-samsung-hw-b550,Laptop Speaker,Samsung
Bộ loa thanh Samsung HW-B650,5990000,8490000,29,7,,https://www.thegioididong.com/loa-laptop/loa-thanh-samsung-hw-b650,Laptop Speaker,Samsung
Bộ loa thanh Samsung HW-Q630B,5990000,9990000,40,41,,https://www.thegioididong.com/loa-laptop/loa-thanh-samsung-hw-q630b,Laptop Speaker,Samsung
Bộ loa thanh Samsung HW-Q700B,7990000,13990000,42,5,,https://www.thegioididong.com/loa-laptop/loa-thanh-samsung-hw-q700b,Laptop Speaker,Samsung
Bộ loa thanh Samsung HW-Q930B,17990000,24990000,28,0,,https://www.thegioididong.com/loa-laptop/loa-thanh-samsung-hw-q930b,Laptop Speaker,Samsung
Bộ loa thanh Samsung HW-T420,1810000,3490000,48,187,,https://www.thegioididong.com/loa-laptop/loa-thanh-samsung-hw-t420,Laptop Speaker,Samsung
Loa tháp Samsung MX-T70/XV,5490000,10990000,50,140,,https://www.thegioididong.com/loa-laptop/loa-thap-samsung-mx-t70-xv,Laptop Speaker,Samsung
Loa tháp Samsung MX-ST90B,11990000,19990000,40,0,,https://www.thegioididong.com/loa-laptop/loa-thanh-samsung-mx-st90b,Laptop Speaker,Samsung
Loa karaoke xách tay Mobell MK-4020,2590000,4090000,36,53,,https://www.thegioididong.com/loa-laptop/loa-karaoke-xach-tay-mobell-mk-4020,Laptop Speaker,Mobell
Loa kéo Mobell MK-5070,2990000,4590000,34,64,,https://www.thegioididong.com/loa-laptop/loa-keo-karaoke-mobell-mk-5070-400w,Laptop Speaker,Mobell
Loa kéo Mobell MK-2120C,1490000,1890000,21,118,,https://www.thegioididong.com/loa-laptop/loa-keo-karaoke-mobell-mk-2120c-30w,Laptop Speaker,Mobell
Loa kéo Mobell MK-7080,7590000,8990000,15,66,,https://www.thegioididong.com/loa-laptop/loa-keo-karaoke-mobell-mk-7080-1000w,Laptop Speaker,Mobell
Loa kéo Mobell MK-6080,5990000,6990000,14,58,,https://www.thegioididong.com/loa-laptop/loa-keo-karaoke-mobell-mk-6080-500w,Laptop Speaker,Mobell
Loa vi tính Bluetooth Enkor S2880,1440000,1600000,10,229,,https://www.thegioididong.com/loa-laptop/loa-vi-tinh-21-enkor-s2880-den,Laptop Speaker,Enkor
Loa vi tính Enkor E50,440000,800000,45,162,,https://www.thegioididong.com/loa-laptop/loa-vi-tinh-21-enkor-e50-den,Laptop Speaker,Enkor
Loa vi tính Bluetooth Enkor E700,520000,800000,35,152,,https://www.thegioididong.com/loa-laptop/loa-vi-tinh-21-enkor-e700-den,Laptop Speaker,Enkor
Loa vi tính Bluetooth Enkor S2850,1190000,1400000,15,221,,https://www.thegioididong.com/loa-laptop/loa-vi-tinh-21-enkor-s2850-nau,Laptop Speaker,Enkor
Loa vi tính Enkor E300 Plus,300000,600000,50,175,,https://www.thegioididong.com/loa-laptop/loa-enkor-e300plus,Laptop Speaker,Enkor
Loa kéo Nanomax X-2000,8990000,9990000,10,0,,https://www.thegioididong.com/loa-laptop/loa-karaoke-nanomax-x-2000,Laptop Speaker,Nanomax
Loa kéo Nanomax S-5000,10600000,12890000,17,24,,https://www.thegioididong.com/loa-laptop/loa-karaoke-nanomax-s-5000,Laptop Speaker,Nanomax
Loa kéo Nanomax S-820,3990000,4390000,9,92,,https://www.thegioididong.com/loa-laptop/loa-keo-karaoke-nanomax-s-820-400w,Laptop Speaker,Nanomax
Loa kéo Nanomax S-800,3490000,3990000,12,48,,https://www.thegioididong.com/loa-laptop/loa-keo-karaoke-nanomax-s-800-360w,Laptop Speaker,Nanomax
Loa kéo Nanomax S-900,4490000,5690000,21,187,,https://www.thegioididong.com/loa-laptop/loa-keo-karaoke-nanomax-s-900-420w,Laptop Speaker,Nanomax
Loa kéo Nanomax S-1000,6290000,6990000,10,166,,https://www.thegioididong.com/loa-laptop/nanomax-s-1000,Laptop Speaker,Nanomax
Loa karaoke xách tay Zenbos K-180,4990000,6650000,24,0,,https://www.thegioididong.com/loa-laptop/loa-karaoke-xach-tay-zenbos-k-180,Laptop Speaker,Zenbos
Cặp loa karaoke Zenbos CR-5,3260000,7560000,56,0,,https://www.thegioididong.com/loa-laptop/cap-loa-karaoke-zenbos-cr-5-300w,Laptop Speaker,Zenbos
Amply Zenbos LX-6800,4740000,10460000,54,4,,https://www.thegioididong.com/loa-laptop/amply-zenbos-lx-6800,Laptop Speaker,Zenbos
Amply Zenbos Z-2600,3070000,7180000,57,7,,https://www.thegioididong.com/loa-laptop/amply-karaoke-zenbos-z-2600,Laptop Speaker,Zenbos
Cặp loa karaoke Zenbos XR-680,3730000,8490000,56,0,,https://www.thegioididong.com/loa-laptop/cap-loa-karaoke-zenbos-xr-680-400w,Laptop Speaker,Zenbos
Loa kéo Zenbos K-200,7990000,8990000,11,22,,https://www.thegioididong.com/loa-laptop/zenbos-k-200,Laptop Speaker,Zenbos
Loa kéo Zenbos K-360,11530000,12530000,7,17,,https://www.thegioididong.com/loa-laptop/zenbos-k-360,Laptop Speaker,Zenbos
Loa kéo SuYang X-158B,10900000,13900000,21,3,,https://www.thegioididong.com/loa-laptop/loa-karaoke-suyang-x-158b,Laptop Speaker,Suyang
Loa điện SuYang X-138,9900000,12900000,23,10,,https://www.thegioididong.com/loa-laptop/loa-dien-suyang-x-138,Laptop Speaker,Suyang
Loa điện SuYang X-128,12900000,15150000,14,20,,https://www.thegioididong.com/loa-laptop/loa-dien-suyang-x-128,Laptop Speaker,Suyang
Loa điện SuYang X-108,5990000,8990000,33,13,,https://www.thegioididong.com/loa-laptop/loa-dien-suyang-x-108,Laptop Speaker,Suyang
Loa karaoke xách tay Jammy N2070K,5490000,5990000,8,7,,https://www.thegioididong.com/loa-laptop/loa-karaoke-xach-tay-jammy-n2070k,Laptop Speaker,Jammy
Loa kéo Jammy S8078K,15590000,16990000,8,3,,https://www.thegioididong.com/loa-laptop/loa-jammy-s8078k,Laptop Speaker,Jammy
Loa kéo Jammy AM4218,7890000,8890000,11,29,,https://www.thegioididong.com/loa-laptop/loa-karaoke-jammy-am4218,Laptop Speaker,Jammy
Loa kéo Boston Acoustics PARTY BOX BA-1202PB,6210000,6900000,10,0,,https://www.thegioididong.com/loa-laptop/loa-karaoke-boston-acoustics-party-box-ba-1202pb,Laptop Speaker,Boston
Loa kéo Boston Acoustics PARTY BOX BA-1002PB,4950000,5500000,10,0,,https://www.thegioididong.com/loa-laptop/loa-karaoke-boston-acoustics-party-box-ba-1002pb,Laptop Speaker,Boston
Loa kéo Boston Acoustics PARTY BOX BA-802PB,3420000,3800000,10,0,,https://www.thegioididong.com/loa-laptop/loa-karaoke-boston-acoustics-party-box-ba-802pb,Laptop Speaker,Boston
Amply Boston Acoustics BA2250,12600000,13400000,5,0,,https://www.thegioididong.com/loa-laptop/amply-boston-acoustics-ba2250-600w,Laptop Speaker,Boston
