product_name,current_price,price,percent_discount,rating,series,link,genre_name,brand_name
LG Inverter 20 Kg TV2520DV7J Mới 2023,14950000.0,17490000.0,14,0,,https://www.dienmayxanh.com/may-giat/may-giat-lg-inverter-20-kg-tv2520dv7j,Washing Machine,Lg
LG Inverter 13 Kg TH2113SSAK,10990000.0,13690000.0,19,24,,https://www.dienmayxanh.com/may-giat/lg-th2113ssak,Washing Machine,Lg
LG Inverter Giặt 21 Kg - Sấy 16 Kg WT2116SHEG,64400000.0,74990000.0,14,0,,https://www.dienmayxanh.com/may-giat/may-giat-say-lg-inverter-21-kg-wt2116sheg,Washing Machine,Lg
LG Inverter 14 Kg FV1414S3BA Mới 2023,18890000.0,25490000.0,25,0,,https://www.dienmayxanh.com/may-giat/may-giat-lg-fv1414s3ba,Washing Machine,Lg
LG Inverter Giặt 21 Kg - Sấy 12 Kg F2721HVRB,35990000.0,41990000.0,14,0,,https://www.dienmayxanh.com/may-giat/may-giat-say-lg-inverter-21-kg-f2721hvrb,Washing Machine,Lg
LG Inverter 12 Kg TH2112SSAV,10890000.0,12990000.0,16,29,,https://www.dienmayxanh.com/may-giat/lg-th2112ssav,Washing Machine,Lg
LG Inverter Giặt 15 Kg - Sấy 8 Kg F2515RTGW,23590000.0,29990000.0,21,31,,https://www.dienmayxanh.com/may-giat/lg-f2515rtgw,Washing Machine,Lg
Tủ chăm sóc quần áo thông minh LG Inverter 6.5 Kg LG S5GOC,48850000.0,69900000.0,30,0,,https://www.dienmayxanh.com/may-giat/tu-cham-soc-quan-ao-thong-minh-lg-s5goc,Washing Machine,Lg
Tủ chăm sóc quần áo thông minh LG Inverter 6.5 Kg LG S5BOC,53000000.0,69900000.0,24,0,,https://www.dienmayxanh.com/may-giat/tu-cham-soc-quan-ao-thong-minh-lg-s5boc,Washing Machine,Lg
Samsung Inverter 8 Kg WW80T3020WW/SV,5990000.0,8000000.0,25,202,,https://www.dienmayxanh.com/may-giat/samsung-inverter-8kg-ww80t3020ww-sv,Washing Machine,Samsung
Samsung Inverter 10 Kg WW10T634DLX/SV,9990000.0,15690000.0,36,283,,https://www.dienmayxanh.com/may-giat/samsung-ai-ww10t634dlx-sv,Washing Machine,Samsung
