link,link_logo,brand_id
https://www.thegioididong.com/sac-dtdd-anker,https://cdn.tgdd.vn/Brand/1/Anker57-b_11.png,01
https://www.thegioididong.com/sac-dtdd-xmobile,https://cdn.tgdd.vn/Brand/1/Xmobile57-b_42.jpg,02
https://www.thegioididong.com/sac-dtdd-samsung,https://cdn.tgdd.vn/Brand/1/samsungnew-220x48-220x48.png,03
https://www.thegioididong.com/sac-dtdd-ava-plus,https://cdn.tgdd.vn/Brand/1/220-48-220x48-10.jpg,04
https://www.thegioididong.com/sac-dtdd-ava,https://cdn.tgdd.vn/Brand/1/AVA57-b_50.jpg,05
https://www.thegioididong.com/sac-dtdd-belkin,https://cdn.tgdd.vn/Brand/1/logo-belkin-220x48-1.jpg,06
https://www.thegioididong.com/sac-dtdd-esaver,https://cdn.tgdd.vn/Brand/1/eSaver57-b_47.jpg,07
https://www.thegioididong.com/sac-dtdd-evalu,https://cdn.tgdd.vn/Brand/1/eValu57-b51-220x48-1.jpg,08
https://www.thegioididong.com/sac-dtdd-hydrus,https://cdn.tgdd.vn/Brand/1/220-48-220x48-3.jpg,09
https://www.thegioididong.com/sac-dtdd-energizer,https://cdn.tgdd.vn/Brand/1/Energizer57-b_50.jpg,10
https://www.thegioididong.com/sac-dtdd-oppo,https://cdn.tgdd.vn/Brand/1/OPPO42-b5-220x48.jpg,11
https://www.thegioididong.com/sac-dtdd-mbest,https://cdn.tgdd.vn/Brand/1/Mbest57-b_9.jpg,12
https://www.thegioididong.com/sac-dtdd-laut,https://cdn.tgdd.vn/Brand/1/Laut-220x48-3-220x48-3.png,13
https://www.thegioididong.com/sac-dtdd-mazer,https://cdn.tgdd.vn/Brand/1/JPG-220x48-1.jpg,14
