link,link_logo,brand_id
https://www.thegioididong.com/adapter-sac-apple,https://cdn.tgdd.vn/Brand/1/Apple9499-b_28.jpg,01
https://www.thegioididong.com/adapter-sac-samsung,https://cdn.tgdd.vn/Brand/1/samsungnew-220x48-220x48-1.png,02
https://www.thegioididong.com/adapter-sac-anker,https://cdn.tgdd.vn/Brand/1/Anker9499-b_18.png,03
https://www.thegioididong.com/adapter-sac-xmobile,https://cdn.tgdd.vn/Brand/1/Xmobile9499-b_10.jpg,04
https://www.thegioididong.com/adapter-sac-ava-plus,https://cdn.tgdd.vn/Brand/1/220-48-220x48-11.jpg,05
https://www.thegioididong.com/adapter-sac-ava,https://cdn.tgdd.vn/Brand/1/AVA9499-b_55.jpg,06
https://www.thegioididong.com/adapter-sac-oppo,https://cdn.tgdd.vn/Brand/1/OPPO-220x48-1.jpeg,07
https://www.thegioididong.com/adapter-sac-belkin,https://cdn.tgdd.vn/Brand/1/Belkin9499-b_39.jpg,08
https://www.thegioididong.com/adapter-sac-aukey,https://cdn.tgdd.vn/Brand/1/AUKEY9499-b_38.png,09
https://www.thegioididong.com/adapter-sac-mbest,https://cdn.tgdd.vn/Brand/1/Mbest9499-b_21.jpg,10
https://www.thegioididong.com/adapter-sac-mophie,https://cdn.tgdd.vn/Brand/1/Mophie9499-b_6.jpg,11
https://www.thegioididong.com/adapter-sac-vcom,https://cdn.tgdd.vn/Brand/1/logovcom-220x48-1.png,12
https://www.thegioididong.com/adapter-sac-philips,https://cdn.tgdd.vn/Brand/1/Philips9499-b_26.png,13
https://www.thegioididong.com/adapter-sac-hydrus,https://cdn.tgdd.vn/Brand/1/hydrus-logo-lon-220x48.jpeg,14
https://www.thegioididong.com/adapter-sac-evalu,https://cdn.tgdd.vn/Brand/1/eValu9499-b_0.jpg,15
https://www.thegioididong.com/adapter-sac-mazer,https://cdn.tgdd.vn/Brand/1/JPG-220x48-5.jpg,16
