link,link_logo,brand_id
https://www.thegioididong.com/loa-laptop-jbl,https://cdn.tgdd.vn/Brand/1/logo-JBL-220x48-3.jpg,01
https://www.thegioididong.com/loa-laptop-sony,https://cdn.tgdd.vn/Brand/1/Sony2162-b_17.jpg,02
https://www.thegioididong.com/loa-laptop-lg,https://cdn.tgdd.vn/Brand/1/LG2162-s39-61x80.png,03
https://www.thegioididong.com/loa-laptop-dalton,https://cdn.tgdd.vn/Brand/1/Dalton2162-b_35.jpg,04
https://www.thegioididong.com/loa-laptop-birici,https://cdn.tgdd.vn/Brand/1/Birici2162-b18-180x80-1.png,05
https://www.thegioididong.com/loa-laptop-samsung,https://cdn.tgdd.vn/Brand/1/samsungnew-220x48-220x48-9.png,06
https://www.thegioididong.com/loa-laptop-mobell,https://cdn.tgdd.vn/Brand/1/Mobell2162-b_49.jpg,07
https://www.thegioididong.com/loa-laptop-enkor,https://cdn.tgdd.vn/Brand/1/Enkor2162-b_14.jpg,08
https://www.thegioididong.com/loa-laptop-nanomax,https://cdn.tgdd.vn/Brand/1/nanomax-200x80-3.png,09
https://www.thegioididong.com/loa-laptop-zenbos,https://cdn.tgdd.vn/Brand/1/Zenbos2162-b_41.jpg,10
https://www.thegioididong.com/loa-laptop-suyang,https://cdn.tgdd.vn/Brand/1/Suyang2162-b_46.jpg,11
https://www.thegioididong.com/loa-laptop-jammy,https://cdn.tgdd.vn/Brand/1/JAMMY2162-b_48.jpg,12
https://www.thegioididong.com/loa-laptop-boston,https://cdn.tgdd.vn/Brand/1/Boston2162-s21-251x80-1.png,13
https://www.thegioididong.com/loa-laptop-klipsch,https://cdn.tgdd.vn/Brand/1/Klipsch2162-s9-157x80-1.png,14
https://www.thegioididong.com/loa-laptop-microlab,https://cdn.tgdd.vn/Brand/1/logo-microlab-220x48-1.png,15
https://www.thegioididong.com/loa-laptop-fenda,https://cdn.tgdd.vn/Brand/1/Fenda2162-b_18.jpg,16
https://www.thegioididong.com/loa-laptop-mozard,https://cdn.tgdd.vn/Brand/1/Mozard2162-b_58.jpg,17
https://www.thegioididong.com/loa-laptop-jamo,https://cdn.tgdd.vn/Brand/1/JAMO2162-s7-144x80-1.png,18
https://www.thegioididong.com/loa-laptop-denon,https://cdn.tgdd.vn/Brand/1/Denon2162-b10-220x48-1.png,19
https://www.thegioididong.com/loa-laptop-sumico,https://cdn.tgdd.vn/Brand/1/sumico-200x80-3-200x80-1.png,20
https://www.thegioididong.com/loa-laptop-harman-kardon,https://cdn.tgdd.vn/Brand/1/Harman-Kardon2162-b_9.jpg,21
https://www.thegioididong.com/loa-laptop-paramax,https://cdn.tgdd.vn/Brand/1/Paramax2162-191x80-1.png,22
https://www.thegioididong.com/loa-laptop-monster,https://cdn.tgdd.vn/Brand/1/Monster-220x48-1.jpg,23
