brand_id,genre_id,link,link_logo
0314,0301,https://www.dienmayxanh.com/may-lanh-panasonic,https://cdn.tgdd.vn/Brand/2/Panasonic2002-b.png
0307,0301,https://www.dienmayxanh.com/may-lanh-samsung,https://cdn.tgdd.vn/Brand/2/Samsung2002-b_1.png
0306,0301,https://www.dienmayxanh.com/may-lanh-lg,https://cdn.tgdd.vn/Brand/2/LG2002-b_13.png
0310,0301,https://www.dienmayxanh.com/may-lanh-casper,https://cdn.tgdd.vn/Brand/2/casper-200x80-1.png
0301,0301,https://www.dienmayxanh.com/may-lanh-midea,https://cdn.tgdd.vn/Brand/2/idea-200x80-1.png
0308,0301,https://www.dienmayxanh.com/may-lanh-gree,https://cdn.tgdd.vn/Brand/2/Gree2002-b_52.png
0311,0301,https://www.dienmayxanh.com/may-lanh-comfee,https://cdn.tgdd.vn/Brand/2/Comfee2002-b_19.png
0309,0301,https://www.dienmayxanh.com/may-lanh-nagakawa,https://cdn.tgdd.vn/Brand/2/Untitled-3-min-200x80-3.png
0304,0301,https://www.dienmayxanh.com/may-lanh-daikin,https://cdn.tgdd.vn/Brand/2/Daikin2002-b_34.png
0302,0301,https://www.dienmayxanh.com/may-lanh-aqua,https://cdn.tgdd.vn/Brand/2/Aqua2002-b_36.png
0303,0301,https://www.dienmayxanh.com/may-lanh-funiki,
0305,0301,https://www.dienmayxanh.com/may-lanh-tcl,https://cdn.tgdd.vn/Brand/2/TCL2002-b_24.png
0312,0301,https://www.dienmayxanh.com/may-lanh-sharp,https://cdn.tgdd.vn/Brand/2/Sharp2002-b_15.png
0313,0301,https://www.dienmayxanh.com/may-lanh-toshiba,https://cdn.tgdd.vn/Brand/2/Toshiba2002-b_12.png
0312,0302,https://www.dienmayxanh.com/tu-lanh-sharp,https://cdn.tgdd.vn/Brand/2/Sharp1943-b_53.png
0316,0302,https://www.dienmayxanh.com/tu-lanh-aqua-sanyo,https://cdn.tgdd.vn/Brand/2/Aqua1943-b_34.png
0315,0302,https://www.dienmayxanh.com/tu-lanh-beko,https://cdn.tgdd.vn/Brand/2/Beko1943-b_0.png
0313,0302,https://www.dienmayxanh.com/tu-lanh-toshiba,https://cdn.tgdd.vn/Brand/2/Toshiba1943-b_52.png
0306,0302,https://www.dienmayxanh.com/tu-lanh-lg,https://cdn.tgdd.vn/Brand/2/LG1943-b_10.png
0317,0302,https://www.dienmayxanh.com/tu-lanh-hitachi,https://cdn.tgdd.vn/Brand/2/Hitachi1943-b_11.png
0307,0302,https://www.dienmayxanh.com/tu-lanh-samsung,https://cdn.tgdd.vn/Brand/2/Samsung1943-b_53.png
0310,0302,https://www.dienmayxanh.com/tu-lanh-casper,https://cdn.tgdd.vn/Brand/2/10-200x80-1.png
0318,0302,https://www.dienmayxanh.com/tu-lanh-electrolux,https://cdn.tgdd.vn/Brand/2/Electrolux1943-b_56.png
0314,0302,https://www.dienmayxanh.com/tu-lanh-panasonic,https://cdn.tgdd.vn/Brand/2/Panasonic1943-b_52.png
0319,0303,https://www.dienmayxanh.com/tivi-sony,https://cdn.tgdd.vn/Brand/2/Sony1942-b_57.png
0320,0303,https://www.dienmayxanh.com/tivi-iffalcon,https://cdn.tgdd.vn/Brand/2/iFFALCON-logo-200x80-1.png
0310,0303,https://www.dienmayxanh.com/tivi-casper,https://cdn.tgdd.vn/Brand/2/Untitled-1-92x40-1.png
0313,0303,https://www.dienmayxanh.com/tivi-toshiba,https://cdn.tgdd.vn/Brand/2/TOSHIBA-200x80-1.png
0306,0303,https://www.dienmayxanh.com/tivi-lg,https://cdn.tgdd.vn/Brand/2/LG1942-b_16.png
0305,0303,https://www.dienmayxanh.com/tivi-tcl,https://cdn.tgdd.vn/Brand/2/TCL1942-b_57.png
0307,0303,https://www.dienmayxanh.com/tivi-samsung,https://cdn.tgdd.vn/Brand/2/Samsung1942-b_51.png
0302,0303,https://www.dienmayxanh.com/tivi-aqua,https://cdn.tgdd.vn/Brand/2/Aqua1943-s34-135x80-1.png
0312,0303,https://www.dienmayxanh.com/tivi-sharp,https://cdn.tgdd.vn/Brand/2/Sharp1942-b_48.png
0306,0304,https://www.dienmayxanh.com/may-giat-lg,https://cdn.tgdd.vn/Brand/2/LG1944-b_14.png
0316,0304,https://www.dienmayxanh.com/may-giat-aqua-sanyo,https://cdn.tgdd.vn/Brand/2/Aqua1944-b_31.png
0315,0304,https://www.dienmayxanh.com/may-giat-beko,https://cdn.tgdd.vn/Brand/2/Beko1944-b_1.png
0321,0304,https://www.dienmayxanh.com/may-giat-whirlpool,https://cdn.tgdd.vn/Brand/2/Artboard2-180x80-3.png
0313,0304,https://www.dienmayxanh.com/may-giat-toshiba,https://cdn.tgdd.vn/Brand/2/Toshiba1944-b_17.png
0318,0304,https://www.dienmayxanh.com/may-giat-electrolux,https://cdn.tgdd.vn/Brand/2/Electrolux1944-b_6.png
0312,0304,https://www.dienmayxanh.com/may-giat-sharp,https://cdn.tgdd.vn/Brand/2/Sharp1944-b_7.png
0305,0304,https://www.dienmayxanh.com/may-giat-tcl,https://cdn.tgdd.vn/Brand/2/TCL1944-b_9.png
0310,0304,https://www.dienmayxanh.com/may-giat-casper,https://cdn.tgdd.vn/Brand/2/1-200x90-3.png
0307,0304,https://www.dienmayxanh.com/may-giat-samsung,https://cdn.tgdd.vn/Brand/2/Samsung1944-b_5.png
0314,0304,https://www.dienmayxanh.com/may-giat-panasonic,https://cdn.tgdd.vn/Brand/2/Panasonic1944-b.png
