brand_name,genre_name,link,link_logo
Oppo,Tablet,https://www.thegioididong.com/may-tinh-bang-oppo,https://cdn.tgdd.vn/Brand/1/OPPO-logo-lon-220x48.jpg
Apple,Tablet,https://www.thegioididong.com/may-tinh-bang-apple-ipad,https://cdn.tgdd.vn/Brand/1/iPad-(Apple)522-b_4.jpg
Xiaomi,Tablet,https://www.thegioididong.com/may-tinh-bang-xiaomi,https://cdn.tgdd.vn/Brand/1/Tablet-xiaomi-220x48-1.png
Samsung,Tablet,https://www.thegioididong.com/may-tinh-bang-samsung,https://cdn.tgdd.vn/Brand/1/samsungnew-220x48-3.png
Masstel,Tablet,https://www.thegioididong.com/may-tinh-bang-masstel,https://cdn.tgdd.vn/Brand/1/Masstel522-b_7.png
