link,link_logo,brand_id
https://www.dienmayxanh.com/tu-lanh-samsung,https://cdn.tgdd.vn/Brand/2/Samsung1943-b_53.png,01
https://www.dienmayxanh.com/tu-lanh-panasonic,https://cdn.tgdd.vn/Brand/2/Panasonic1943-b_52.png,02
https://www.dienmayxanh.com/tu-lanh-aqua-sanyo,https://cdn.tgdd.vn/Brand/2/Aqua1943-b_34.png,03
https://www.dienmayxanh.com/tu-lanh-lg,https://cdn.tgdd.vn/Brand/2/LG1943-b_10.png,04
https://www.dienmayxanh.com/tu-lanh-toshiba,https://cdn.tgdd.vn/Brand/2/Toshiba1943-b_52.png,05
https://www.dienmayxanh.com/tu-lanh-sharp,https://cdn.tgdd.vn/Brand/2/Sharp1943-b_53.png,06
https://www.dienmayxanh.com/tu-lanh-beko,https://cdn.tgdd.vn/Brand/2/Beko1943-b_0.png,07
https://www.dienmayxanh.com/tu-lanh-electrolux,https://cdn.tgdd.vn/Brand/2/Electrolux1943-b_56.png,08
https://www.dienmayxanh.com/tu-lanh-casper,https://cdn.tgdd.vn/Brand/2/10-200x80-1.png,09
https://www.dienmayxanh.com/tu-lanh-hitachi,https://cdn.tgdd.vn/Brand/2/Hitachi1943-b_11.png,10
