product_name,current_price,price,percent_discount,rating,link,brand_id,series,device
Sạc Apple 20W MHJE3,520.000₫,690.000₫,-24%,433,https://www.thegioididong.com/adapter-sac/adapter-sac-type-c-20w-cho-iphone-ipad-apple-mhje3,01,,Adapter Charger
Bộ chuyển đổi chân sạc Adapter Kit Apple MD837,870.000₫,1.090.000₫,-20%,,https://www.thegioididong.com/adapter-sac/chan-sac-world-travel-adapter-kit-apple-md837,01,,Adapter Charger
Sạc Apple MGN13,225.000₫,450.000₫,-50%,52,https://www.thegioididong.com/adapter-sac/adapter-sac-5w-cho-iphone-ipad-ipod-apple-mgn13,01,,Adapter Charger
Sạc Apple MD813ZM-A,405.000₫,450.000₫,-10%,8,https://www.thegioididong.com/adapter-sac/adapter-sac-5w-iphone-ipad-ipod-apple-md813zma,01,,Adapter Charger
Bộ Adapter sạc kèm cáp Type C - Type C Samsung EP-T4510X,650.000₫,1.190.000₫,-45%,67,https://www.thegioididong.com/adapter-sac/bo-adapter-sac-kem-cap-type-c-type-c-pd-45w-samsung-ep-t4510x,02,,Adapter Charger
Sạc Samsung EP-TA800N,340.000₫,490.000₫,-30%,317,https://www.thegioididong.com/adapter-sac/type-c-pd-25w-samsung-ep-ta800n,02,,Adapter Charger
Sạc 3 cổng Samsung EP-T6530,965.000₫,1.490.000₫,-35%,17,https://www.thegioididong.com/adapter-sac/adapter-sac-3-cong-usb-type-c-pd-65w-samsung-ep-t6530n,02,,Adapter Charger
Sạc kèm cáp Micro Samsung TA20HW,200.000₫,290.000₫,-30%,139,https://www.thegioididong.com/adapter-sac/bo-adapter-sac-kem-cap-micro-samsung-ta20hw,02,,Adapter Charger
Bộ Adapter sạc kèm cáp Type C - Type C Samsung EP-T1510X,320.000₫,400.000₫,-20%,82,https://www.thegioididong.com/adapter-sac/bo-adapter-sac-kem-cap-type-c-samsung-ep-t1510x,02,,Adapter Charger
Sạc Samsung EP-T1510N,255.000₫,320.000₫,-20%,34,https://www.thegioididong.com/adapter-sac/adapter-sac-type-c-samsung-ep-t1510n-trang,02,,Adapter Charger
Sạc kèm cáp Type C Samsung TA20EW,255.000₫,320.000₫,-20%,138,https://www.thegioididong.com/adapter-sac/bo-adapter-sac-kem-cap-type-c-samsung-ta20ew,02,,Adapter Charger
Sạc Anker PowerPort III Nano A2633,290.000₫,400.000₫,-27%,124,https://www.thegioididong.com/adapter-sac/adapter-type-c-pd-20w-anker-powerport-nano-a2633,03,,Adapter Charger
Sạc Anker Nano 3 A2147,425.000₫,500.000₫,-15%,23,https://www.thegioididong.com/adapter-sac/adapter-sac-type-c-pd-gan-30w-anker-nano-3-a2147-trang,03,,Adapter Charger
Sạc 2 cổng Anker Nano Pro A2038,615.000₫,950.000₫,-35%,12,https://www.thegioididong.com/adapter-sac/adapter-sac-2-cong-type-c-pd-40w-anker-nano-pro-a2038,03,,Adapter Charger
Sạc 2 cổng Anker PowerPort Elite 2 - A2023,380.000₫,450.000₫,-15%,17,https://www.thegioididong.com/adapter-sac/adapter-sac-2-cong-24a-anker-a2023-trang,03,,Adapter Charger
Sạc 2 cổng Anker PowerPort Mini - A2620,215.000₫,270.000₫,-20%,55,https://www.thegioididong.com/adapter-sac/adapter-sac-2a-dual-anker-a2620-trang,03,,Adapter Charger
Sạc Xmobile A829,240.000₫,300.000₫,-20%,63,https://www.thegioididong.com/adapter-sac/adapter-sac-type-c-pd-20w-xmobile-a829-trang,04,,Adapter Charger
Sạc Xmobile TCE20W,240.000₫,300.000₫,-20%,46,https://www.thegioididong.com/adapter-sac/adapter-sac-type-c-pd-20w-xmobile-tce20w-trang,04,,Adapter Charger
Sạc Xmobile TC20P,240.000₫,300.000₫,-20%,71,https://www.thegioididong.com/adapter-sac/adapter-sac-type-c-pd-20w-xmobile-tc20p-hong,04,,Adapter Charger
Sạc Xmobile DS230,280.000₫,400.000₫,-30%,31,https://www.thegioididong.com/adapter-sac/adapter-sac-type-c-pd-gan-30w-xmobile-ds230-trang,04,,Adapter Charger
Sạc Xmobile CS-TC041,240.000₫,300.000₫,-20%,82,https://www.thegioididong.com/adapter-sac/adapter-sac-type-c-pd-20w-xmobile-cs-tc041-trang,04,,Adapter Charger
Sạc 2 cổng Xmobile DS702,150.000₫,250.000₫,-40%,46,https://www.thegioididong.com/adapter-sac/adapter-sac-24a-dual-xmobile-ds702-trang,04,,Adapter Charger
Sạc xe hơi 3 cổng Xmobile SN-156,315.000₫,450.000₫,-30%,51,https://www.thegioididong.com/adapter-sac/sac-xe-hoi-3-cong-20w-xmobile-sn-156-den-xam,04,,Adapter Charger
Sạc xe hơi 2 cổng Xmobile SN-455,315.000₫,450.000₫,-30%,27,https://www.thegioididong.com/adapter-sac/sac-xe-hoi-2-cong-usb-type-c-pd-qc-30-20w-xmobile-sn-455-bac-den,04,,Adapter Charger
Sạc 2 cổng Xmobile MFR65,630.000₫,700.000₫,-10%,41,https://www.thegioididong.com/adapter-sac/adapter-2-cong-pd-qc-30-gan-65w-xmobile-mfr65,04,,Adapter Charger
