product_name,current_price,price,percent_discount,rating,link,brand_id,series,device
Xiaomi Redmi Watch 3 42.6mm dây silicone,2.790.000₫,,,189,https://www.thegioididong.com/dong-ho-thong-minh/redmi-watch-3,04,Mi Watch,Smartwatch
Xiaomi Watch S1 46.5mm dây da,4.790.000₫,5.990.000₫,-20%,103,https://www.thegioididong.com/dong-ho-thong-minh/dong-ho-thong-minh-xiaomi-watch-s1,04,Mi Watch,Smartwatch
Xiaomi Redmi Watch 2 Lite 41.2mm dây TPU,1.140.000₫,1.490.000₫,-23%,191,https://www.thegioididong.com/dong-ho-thong-minh/redmi-watch-2-lite,04,Mi Watch,Smartwatch
Xiaomi Mi Band 7 Pro dây TPU,1.690.000₫,1.890.000₫,-10%,87,https://www.thegioididong.com/dong-ho-thong-minh/mi-band-7-pro,04,Mi Band,Smartwatch
Xiaomi Mi Band 7 dây TPU,890.000₫,1.290.000₫,-31%,134,https://www.thegioididong.com/dong-ho-thong-minh/mi-band-7,04,Mi Band,Smartwatch
Kidcare S88 43.4mm dây silicone,2.420.000₫,2.690.000₫,-10%,47,https://www.thegioididong.com/dong-ho-thong-minh/kidcare-s88-den,05,,Smartwatch
Kidcare S8 43.4mm dây silicone,2.240.000₫,2.490.000₫,-10%,78,https://www.thegioididong.com/dong-ho-thong-minh/kidcare-s8-den,05,,Smartwatch
Kidcare S6 41.5mm dây silicone,1.740.000₫,1.990.000₫,-12%,153,https://www.thegioididong.com/dong-ho-thong-minh/kidcare-s6-xanh,05,,Smartwatch
Amazfit GTS 4 42.7mm,4.290.000₫,4.990.000₫,-14%,34,https://www.thegioididong.com/dong-ho-thong-minh/amazfit-gts-4-day-silicone,06,GTS,Smartwatch
Amazfit GTS 4 mini 41.8mm dây silicone,2.290.000₫,2.590.000₫,-11%,127,https://www.thegioididong.com/dong-ho-thong-minh/amazfit-gts-4-mini,06,GTS,Smartwatch
Amazfit GTS 2 mini 40.5mm dây silicone,1.490.000₫,1.990.000₫,-25%,43,https://www.thegioididong.com/dong-ho-thong-minh/amazfit-gts-2-mini-new,06,GTS,Smartwatch
Amazfit T-Rex Ultra 47.3mm dây silicone,12.490.000₫,,,,https://www.thegioididong.com/dong-ho-thong-minh/amazfit-t-rex-ultra,06,T-rex,Smartwatch
Amazfit T-Rex 2 47.1mm dây silicone,4.490.000₫,4.990.000₫,-10%,61,https://www.thegioididong.com/dong-ho-thong-minh/amazfit-t-rex-2,06,T-rex,Smartwatch
Amazfit GTR mini 42.8mm dây silicone,3.490.000₫,,,9,https://www.thegioididong.com/dong-ho-thong-minh/amazfit-gtr-mini,06,GTR,Smartwatch
Amazfit GTR 4 46mm,4.290.000₫,4.990.000₫,-14%,50,https://www.thegioididong.com/dong-ho-thong-minh/amazfit-gtr-4-silicone,06,GTR,Smartwatch
Amazfit Bip 3 Pro 44.12mm dây silicone,990.000₫,1.390.000₫,-28%,42,https://www.thegioididong.com/dong-ho-thong-minh/amazfit-bip-3-pro,06,Amazfit Bip,Smartwatch
Amazfit Bip 3 44.12mm dây silicone,890.000₫,1.190.000₫,-25%,78,https://www.thegioididong.com/dong-ho-thong-minh/amazfit-bip-3,06,Amazfit Bip,Smartwatch
Garmin Forerunner 965 47.2mm dây silicone,16.490.000₫,,,6,https://www.thegioididong.com/dong-ho-thong-minh/garmin-forerunner-965-day-silicone,07,Forerunner,Smartwatch
Garmin Forerunner 265 Music 46.1mm dây silicone,11.690.000₫,,,10,https://www.thegioididong.com/dong-ho-thong-minh/garmin-forerunner-265-music-day-silicone,07,Forerunner,Smartwatch
Garmin Forerunner 55 42mm dây silicone,5.290.000₫,,,25,https://www.thegioididong.com/dong-ho-thong-minh/garmin-forerunner-55-day-silicone-den,07,Forerunner,Smartwatch
Garmin Forerunner 255 45.6mm dây silicone,8.990.000₫,,,18,https://www.thegioididong.com/dong-ho-thong-minh/garmin-forerunner-255-day-silicone,07,Forerunner,Smartwatch
Garmin Forerunner 955 46.5mm dây silicone,12.690.000₫,,,9,https://www.thegioididong.com/dong-ho-thong-minh/garmin-forerunner-955-day-silicone,07,Forerunner,Smartwatch
Garmin Forerunner 955 Solar 46.5mm dây silicone,15.290.000₫,,,5,https://www.thegioididong.com/dong-ho-thong-minh/garmin-forerunner-955-solar-day-silicone,07,Forerunner,Smartwatch
Garmin Forerunner 255 Music 45.6mm dây silicone,10.290.000₫,,,4,https://www.thegioididong.com/dong-ho-thong-minh/garmin-forerunner-255-music-day-silicone,07,Forerunner,Smartwatch
Garmin Venu SQ 2 Music 40.6mm dây silicone,7.690.000₫,,,8,https://www.thegioididong.com/dong-ho-thong-minh/garmin-venu-sq-2-music,07,Venu,Smartwatch
Garmin Venu SQ 2 40.6mm dây silicone,6.490.000₫,,,10,https://www.thegioididong.com/dong-ho-thong-minh/garmin-venu-sq-2-day-silicone,07,Venu,Smartwatch
Garmin Fenix 7 Sapphire 47mm dây silicone,19.110.000₫,22.490.000₫,-15%,3,https://www.thegioididong.com/dong-ho-thong-minh/garmin-fenix-7-sapphire-47mm-den,07,Fenix,Smartwatch
Garmin Fenix 7X Solar Titanium 51mm dây silicone,20.390.000₫,23.990.000₫,-15%,3,https://www.thegioididong.com/dong-ho-thong-minh/dong-ho-thong-minh-garmin-fenix-7x-solar-titanium,07,Fenix,Smartwatch
Garmin Fenix 7 47mm dây silicone,14.860.000₫,17.490.000₫,-15%,,https://www.thegioididong.com/dong-ho-thong-minh/garmin-fenix-7,07,Fenix,Smartwatch
Garmin Vivosmart 5 dây silicone,3.690.000₫,,,8,https://www.thegioididong.com/dong-ho-thong-minh/vong-deo-tay-thong-minh-garmin-vivosmart-5,07,Vivosmart,Smartwatch
Garmin Epix Gen 2 Titanium 47mm dây silicone,21.240.000₫,24.990.000₫,-15%,3,https://www.thegioididong.com/dong-ho-thong-minh/dong-ho-thong-minh-garmin-epix-gen-2-titanium,07,Epix,Smartwatch
Garmin Lily 34.5mm dây silicone,4.990.000₫,,,6,https://www.thegioididong.com/dong-ho-thong-minh/garmin-lily-day-silicone-vang,07,Lily,Smartwatch
Garmin Instinct 2 45mm dây silicone,9.990.000₫,,,3,https://www.thegioididong.com/dong-ho-thong-minh/dong-ho-thong-minh-garmin-instinct-2,07,Instinct,Smartwatch
Garmin Approach S62 47mm dây silicone,12.990.000₫,,,3,https://www.thegioididong.com/dong-ho-thong-minh/garmin-approach-s62-day-silicon,07,Approach,Smartwatch
Oppo Band 2 dây silicone,1.790.000₫,1.990.000₫,-10%,40,https://www.thegioididong.com/dong-ho-thong-minh/oppo-band-2,08,,Smartwatch
realme Band 2 dây TPU,590.000₫,990.000₫,-40%,89,https://www.thegioididong.com/dong-ho-thong-minh/realme-band-2,09,,Smartwatch
realme Watch 3 45mm dây silicone,1.490.000₫,1.990.000₫,-25%,97,https://www.thegioididong.com/dong-ho-thong-minh/realme-watch-3-day-silicone,09,,Smartwatch
Honor Watch GS3 45.9mm dây da,2.790.000₫,5.990.000₫,-53%,36,https://www.thegioididong.com/dong-ho-thong-minh/honor-watch-gs-3-day-da-bac,10,,Smartwatch
Honor Watch GS3 45.9mm dây da,2.790.000₫,5.990.000₫,-53%,27,https://www.thegioididong.com/dong-ho-thong-minh/honor-watch-gs-3-day-da-vang,10,,Smartwatch
Honor Watch GS3 45.9mm dây cao su,2.590.000₫,5.490.000₫,-52%,54,https://www.thegioididong.com/dong-ho-thong-minh/honor-watch-gs-3-day-cao-su,10,,Smartwatch
HAYLOU RT2 45.7mm dây silicone,790.000₫,1.790.000₫,-55%,98,https://www.thegioididong.com/dong-ho-thong-minh/haylou-rt-2-den,11,,Smartwatch
HAYLOU GS 44.4mm dây silicone,590.000₫,1.390.000₫,-57%,73,https://www.thegioididong.com/dong-ho-thong-minh/haylou-gs-den,11,,Smartwatch
HAYLOU GST 45.1mm dây silicone,590.000₫,1.390.000₫,-57%,78,https://www.thegioididong.com/dong-ho-thong-minh/haylou-gst-den,11,,Smartwatch
Masstel Smart Hero 20 58.2 mm dây silicone,1.790.000₫,1.990.000₫,-10%,19,https://www.thegioididong.com/dong-ho-thong-minh/masstel-smart-hero-20,12,Smart Hero,Smartwatch
Masstel Smart Hero 10 dây silicone,1.520.000₫,1.690.000₫,-10%,70,https://www.thegioididong.com/dong-ho-thong-minh/masstel-smart-hero-10,12,Smart Hero,Smartwatch
Suunto 7 50mm dây silicone,5.800.000₫,14.500.000₫,-60%,3,https://www.thegioididong.com/dong-ho-thong-minh/suunto-7-day-silicon-den,13,,Smartwatch
