product_name,current_price,price,percent_discount,rating,link,brand_id,series,device
Loa kéo LG Xboom XL7S,11.490.000₫,15.490.000₫,-25%,,https://www.thegioididong.com/loa-laptop/loa-karaoke-lg-xboom-xl7s,03,,Laptop Speaker
Bộ loa thanh LG SN4 Mới 2023,2.690.000₫,5.490.000₫,-51%,,https://www.thegioididong.com/loa-laptop/loa-thanh-lg-sn4,03,,Laptop Speaker
Bộ loa thanh LG SC9S Mới 2023,7.290.000₫,14.990.000₫,-51%,,https://www.thegioididong.com/loa-laptop/loa-thanh-lg-sc9s,03,,Laptop Speaker
Loa bluetooth LG OL45,3.990.000₫,5.190.000₫,-23%,90,https://www.thegioididong.com/loa-laptop/loa-karaoke-lg-ol45,03,,Laptop Speaker
Loa kéo Dalton TS-12G350N,4.990.000₫,6.590.000₫,-24%,4,https://www.thegioididong.com/loa-laptop/loa-keo-karaoke-dalton-ts-12g350n,04,,Laptop Speaker
Loa karaoke xách tay Dalton PS-K20A,3.990.000₫,5.890.000₫,-32%,3,https://www.thegioididong.com/loa-laptop/loa-karaoke-xach-tay-dalton-ps-k20,04,,Laptop Speaker
Loa karaoke xách tay Dalton PS-K16A,4.490.000₫,5.490.000₫,-18%,5,https://www.thegioididong.com/loa-laptop/loa-karaoke-xach-tay-dalton-ps-k16a,04,,Laptop Speaker
Loa karaoke xách tay Dalton PS-K25A,4.990.000₫,6.690.000₫,-25%,55,https://www.thegioididong.com/loa-laptop/loa-karaoke-xach-tay-dalton-ps-k25a,04,,Laptop Speaker
Loa điện Dalton TS-18A8500,19.690.000₫,21.990.000₫,-10%,33,https://www.thegioididong.com/loa-laptop/loa-dien-karaoke-dalton-ts-18a8500-3000w,04,,Laptop Speaker
Loa kéo Dalton TS-12G450X,5.690.000₫,7.900.000₫,-27%,101,https://www.thegioididong.com/loa-laptop/loa-karaoke-dalton-ts-12g450x,04,,Laptop Speaker
Loa điện Dalton TS - 18A1500,12.200.000₫,13.900.000₫,-12%,28,https://www.thegioididong.com/loa-laptop/dalton-ts-18a1500,04,,Laptop Speaker
Loa kéo Dalton TS-18G850X,11.700.000₫,12.800.000₫,-8%,96,https://www.thegioididong.com/loa-laptop/dalton-ts-18g850x,04,,Laptop Speaker
Loa kéo Dalton TS-15G600X,8.500.000₫,9.500.000₫,-10%,202,https://www.thegioididong.com/loa-laptop/dalton-ts-15g600x,04,,Laptop Speaker
Loa kéo Birici NB-6889,12.490.000₫,14.390.000₫,-13%,,https://www.thegioididong.com/loa-laptop/loa-karaoke-birici-nb-6889,05,,Laptop Speaker
Loa điện Birici MX-700,15.990.000₫,18.690.000₫,-14%,54,https://www.thegioididong.com/loa-laptop/birici-mx-700,05,,Laptop Speaker
Loa thanh Samsung HW-C400/XV,2.990.000₫,,,,https://www.thegioididong.com/loa-laptop/loa-thanh-samsung-hw-c400-xv,06,,Laptop Speaker
Bộ loa thanh Samsung HW-C450/XV,4.490.000₫,,,,https://www.thegioididong.com/loa-laptop/loa-thanh-samsung-hw-c450-xv,06,,Laptop Speaker
Bộ loa thanh Samsung HW-Q600C/XV,8.990.000₫,,,,https://www.thegioididong.com/loa-laptop/loa-thanh-samsung-hw-q600c-xv,06,,Laptop Speaker
Bộ loa thanh Samsung HW-Q700C/XV,11.990.000₫,,,,https://www.thegioididong.com/loa-laptop/loa-thanh-samsung-hw-q700c-xv,06,,Laptop Speaker
Bộ loa thanh Samsung HW-Q930C/XV,20.990.000₫,,,,https://www.thegioididong.com/loa-laptop/loa-thanh-samsung-hw-q930c-xv,06,,Laptop Speaker
Bộ loa thanh Samsung HW-Q990C/XV,32.990.000₫,,,,https://www.thegioididong.com/loa-laptop/loa-thanh-samsung-hw-q990c-xv,06,,Laptop Speaker
Loa tháp Samsung MX-ST50B,6.990.000₫,10.990.000₫,-36%,4,https://www.thegioididong.com/loa-laptop/loa-thap-samsung-mx-st50b-230w,06,,Laptop Speaker
Loa thanh Samsung HW-S61B,6.990.000₫,8.990.000₫,-22%,,https://www.thegioididong.com/loa-laptop/loa-thanh-samsung-hw-s61b,06,,Laptop Speaker
Bộ loa thanh Samsung HW-B550,4.990.000₫,6.990.000₫,-28%,24,https://www.thegioididong.com/loa-laptop/loa-thanh-samsung-hw-b550,06,,Laptop Speaker
Bộ loa thanh Samsung HW-B650,5.990.000₫,8.490.000₫,-29%,7,https://www.thegioididong.com/loa-laptop/loa-thanh-samsung-hw-b650,06,,Laptop Speaker
Bộ loa thanh Samsung HW-Q630B,5.990.000₫,9.990.000₫,-40%,41,https://www.thegioididong.com/loa-laptop/loa-thanh-samsung-hw-q630b,06,,Laptop Speaker
Bộ loa thanh Samsung HW-Q700B,7.990.000₫,13.990.000₫,-42%,5,https://www.thegioididong.com/loa-laptop/loa-thanh-samsung-hw-q700b,06,,Laptop Speaker
Bộ loa thanh Samsung HW-Q930B,17.990.000₫,24.990.000₫,-28%,,https://www.thegioididong.com/loa-laptop/loa-thanh-samsung-hw-q930b,06,,Laptop Speaker
Bộ loa thanh Samsung HW-T420,1.810.000₫,3.490.000₫,-48%,187,https://www.thegioididong.com/loa-laptop/loa-thanh-samsung-hw-t420,06,,Laptop Speaker
