product_name,current_price,price,percent_discount,rating,link,brand_id,series,device
LG Inverter Giặt 14 Kg - Sấy 10 Kg WT1410NHB,47.490.000₫,64.990.000₫,-26%,,https://www.dienmayxanh.com/may-giat/may-giat-say-lg-inverter-14-kg-wt1410nhb,01,,Washing Machine
LG Inverter 20 Kg TV2520DV7J Mới 2023,14.950.000₫,17.490.000₫,-14%,,https://www.dienmayxanh.com/may-giat/may-giat-lg-inverter-20-kg-tv2520dv7j,01,,Washing Machine
LG Inverter 13 Kg TH2113SSAK,10.990.000₫,13.690.000₫,-19%,24,https://www.dienmayxanh.com/may-giat/lg-th2113ssak,01,,Washing Machine
LG Inverter Giặt 21 Kg - Sấy 16 Kg WT2116SHEG,64.400.000₫,74.990.000₫,-14%,,https://www.dienmayxanh.com/may-giat/may-giat-say-lg-inverter-21-kg-wt2116sheg,01,,Washing Machine
LG Inverter 14 Kg FV1414S3BA Mới 2023,18.890.000₫,25.490.000₫,-25%,,https://www.dienmayxanh.com/may-giat/may-giat-lg-fv1414s3ba,01,,Washing Machine
LG Inverter Giặt 21 Kg - Sấy 12 Kg F2721HVRB,35.990.000₫,41.990.000₫,-14%,,https://www.dienmayxanh.com/may-giat/may-giat-say-lg-inverter-21-kg-f2721hvrb,01,,Washing Machine
LG Inverter 12 Kg TH2112SSAV,10.890.000₫,12.990.000₫,-16%,29,https://www.dienmayxanh.com/may-giat/lg-th2112ssav,01,,Washing Machine
LG Inverter Giặt 15 Kg - Sấy 8 Kg F2515RTGW,23.590.000₫,29.990.000₫,-21%,31,https://www.dienmayxanh.com/may-giat/lg-f2515rtgw,01,,Washing Machine
Tủ chăm sóc quần áo thông minh LG Inverter 6.5 Kg LG S5GOC,48.850.000₫,69.900.000₫,-30%,,https://www.dienmayxanh.com/may-giat/tu-cham-soc-quan-ao-thong-minh-lg-s5goc,01,,Washing Machine
Tủ chăm sóc quần áo thông minh LG Inverter 6.5 Kg LG S5BOC,53.000.000₫,69.900.000₫,-24%,,https://www.dienmayxanh.com/may-giat/tu-cham-soc-quan-ao-thong-minh-lg-s5boc,01,,Washing Machine
Samsung Inverter 8 Kg WW80T3020WW/SV,5.990.000₫,8.000.000₫,-25%,202,https://www.dienmayxanh.com/may-giat/samsung-inverter-8kg-ww80t3020ww-sv,02,,Washing Machine
Samsung Inverter 10 Kg WW10T634DLX/SV,9.990.000₫,15.690.000₫,-36%,283,https://www.dienmayxanh.com/may-giat/samsung-ai-ww10t634dlx-sv,02,,Washing Machine
Samsung Inverter 10 Kg WW10TP44DSB/SV,11.490.000₫,17.590.000₫,-34%,258,https://www.dienmayxanh.com/may-giat/samsung-10kg-ww10tp44dsb-sv,02,,Washing Machine
Samsung Inverter 10 Kg WW10TA046AE/SV,11.690.000₫,15.590.000₫,-25%,271,https://www.dienmayxanh.com/may-giat/samsung-inverter-10kg-ww10ta046ae-sv,02,,Washing Machine
Samsung Inverter 9 Kg WW90TP44DSB/SV,9.850.000₫,15.690.000₫,-37%,539,https://www.dienmayxanh.com/may-giat/samsung-9kg-ww90tp44dsb-sv,02,,Washing Machine
Samsung Inverter 10 Kg WW10TP44DSH/SV,9.990.000₫,15.990.000₫,-37%,301,https://www.dienmayxanh.com/may-giat/samsung-ww10tp44dsh-sv,02,,Washing Machine
Samsung Inverter 9 Kg WW90T634DLN/SV,9.490.000₫,15.090.000₫,-37%,178,https://www.dienmayxanh.com/may-giat/may-giat-samsung-inverter-9-kg-ww90t634dln-sv,02,,Washing Machine
